responseid,respid,interview_start,interview_end,status,email,role,q1,q2,q3,q4,q5
1,1,0,1,Completed,a,a,1,0,1,3,0
2,2,0,1,Completed,b,a,4,0,4,2,1
3,3,0,1,Completed,c,b,2,1,4,1,1
4,4,0,1,Completed,d,c,4,1,2,3,1
5,5,0,1,Completed,e,c,5,1,4,4,0
6,6,0,1,Completed,f,a,5,1,5,4,1
7,7,0,1,Completed,g,a,4,1,4,5,0
8,8,0,1,Completed,h,b,5,1,5,5,0
9,9,0,1,Completed,i,b,5,0,5,5,0
10,10,0,1,Completed,j,d,5,0,5,5,0
11,11,0,1,Completed,a,a,5,0,5,5,0
12,12,0,1,Completed,b,a,5,0,4,5,0
13,13,0,1,Completed,c,b,5,0,3,5,0
14,14,0,1,Completed,d,c,5,0,5,2,1
15,15,0,1,Completed,e,c,3,0,4,3,0
16,16,0,1,Completed,f,a,4,0,5,5,1
17,17,0,1,Completed,g,a,4,0,5,5,0
18,18,0,1,Completed,h,b,5,0,5,4,0
19,19,0,1,Completed,i,b,5,0,5,5,0